Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Nicky Lopez","COL",18,74.6295,65.8346,16.4344,13.2797,2.67392,0.409255,0.0715987,7.92538,4.44241,6.06564,0.106104,10.558,0.60789,0.417992,1.65095,2.01922,1.93632,0.639194,0.249632,0.0812767,0.141472,0.574506,0.316868,0.305944,0.280417,0.622812,0.0563112,5.21744,0.294174,,-0.0055208,6.84042,-1.97762,64.0267,-0.0055208,0,-3.187407231889665,0.32828280329704285,-0.0384883,999,,,,,,,54.3,3.016666666,54.3,3.016666666,,,,,,,,,,,,,,,,,,,"Nicky Lopez","19339",670032
"Johnathan Rodríguez","CLE",47,199.639,181.716,41.706,28.6923,7.69088,0.527317,4.79556,20.4059,20.2418,15.2161,0.593444,58.8258,1.45204,1.00145,0.254042,4.09048,1.29492,0.461994,0.229512,0.0762179,0.294661,0.258663,0.292771,0.356811,0.285287,0.649582,0.127299,3.51712,0.309922,,-0.225748,19.0881,-4.50087,82.2519,-0.225748,0,-4.401839256286621,-2.8762238025665283,-0.0416208,999,,,,,,,179,3.808510638,179,3.808510638,,,,,,,,,,,,,,,,,,,"Johnathan Rodriguez","22530",671286
"Yohandy Morales","WSN",16,67.6527,61.8993,14.9595,10.63,2.88024,0.210794,1.23837,6.53615,6.90376,4.49491,0.0628324,16.6829,0.72401,0.39124,0.143255,1.36051,0.552023,0.161311,0.241674,0.066441,0.246596,0.269432,0.298897,0.355035,0.288088,0.653932,0.113361,3.68075,0.309248,,-0.0598701,6.62232,-1.37137,82.9549,-0.0598701,0,-1.4265863969922066,-1.2345678806304932,-0.0419822,999,,,,,,,57,3.5625,57,3.5625,,,,,,,,,,,,,,,,,,,"Yohandy Morales","sa3022672",691002
"Drew Gilbert","SFG",86,363.512,330.965,74.0089,48.8907,15.6114,1.42539,8.08147,38.0326,34.8053,25.159,0.925799,77.8253,4.4714,2.34743,0.568472,5.7811,4.30118,1.22815,0.223615,0.0692109,0.214093,0.323275,0.285552,0.352652,0.280086,0.638204,0.129036,4.53735,0.266475,,-0.154971,33.2212,-9.73052,79.8461,-0.154971,0,-8.837996408343315,-3.680992364883423,-0.0434692,643.5599975585938,,,,,,,302.5,3.51744186,302.5,3.51744186,,,,,,,,,,,,,,,,,,,"Drew Gilbert","31545",687551
"Justin Foscue","TEX",10,40.8975,36.7734,7.97025,5.23059,1.73901,0.112133,0.888518,4.17792,3.89543,3.22099,0.0287452,8.21786,0.590567,0.262316,0.0502348,0.671213,0.385039,0.137149,0.21674,0.0787576,0.200938,0.39195,0.288436,0.342614,0.27964,0.631049,0.125874,3.95783,0.253559,,-0.0386607,3.72282,-1.10954,78.5828,-0.0386607,0,-1.0710209123790264,-0.7716049551963806,-0.0445059,999,,,,,,,35,3.5,35,3.5,,,,,,,,,,,,,,,,,,,"Justin Foscue","27501",679822
"Ryan Kreidler","MIN",13,55.2639,49.7369,9.41069,6.33142,1.92677,0.0745109,1.07798,5.4191,4.38323,4.24782,0.00342139,17.9144,0.619532,0.34902,0.310555,0.722218,1.44921,0.444286,0.189209,0.0768643,0.324161,0.237117,0.259821,0.295966,0.249242,0.555787,0.106757,4.94167,0.267988,,0.0339916,3.66663,-2.86323,55.4794,0.0339916,0,-2.865853328257799,0.40123456716537476,-0.0575535,999,,,,,,,32.5,2.5,32.5,2.5,,,,,,,,,,,,,,,,,,,"Ryan Kreidler","25867",668952
"Jared Young","NYM",34,144.993,130.31,27.6495,17.9532,5.73343,0.230026,3.73286,14.7976,13.9105,11.0281,0.27575,39.5706,2.05981,0.847167,0.747948,2.41776,1.85369,0.504636,0.212182,0.0760592,0.272914,0.278694,0.282417,0.345648,0.277228,0.628065,0.133466,4.05636,0.272231,,-0.0390217,12.9145,-4.21757,78.7965,-0.0390217,0,-3.6827883534133434,-1.7239859104156494,-0.0596289,750.780029296875,,,,,,,121.8,3.582352941,121.8,3.582352941,,,,,,,,,,,,,,,,,,,"Jared Young","20404",676724
"Junior Perez","ATH",10,41.1898,37.5614,7.44106,4.64332,1.73835,0.120311,0.939082,4.54263,3.34632,2.9686,0.0122667,15.4502,0.215673,0.213038,0.231031,0.42113,1.57051,0.194567,0.198104,0.0720712,0.375098,0.192139,0.259415,0.325793,0.258325,0.585209,0.12769,6.17829,0.304041,,0.182828,3.03661,-1.83028,59.6751,0.182828,0,-1.774821624159813,-0.2572016417980194,-0.0628545,999,,,,,,,29.2,2.92,29.2,2.92,,,,,,,,,,,,,,,,,,,"Junior Perez","sa3005744",678577
"Brandon Lockridge","MIL",18,76.205,69.7101,15.8669,11.8095,3.16911,0.303016,0.585251,8.13038,5.15294,4.66816,0.0550718,20.4812,0.597872,0.449775,0.779063,1.20841,4.10293,0.790025,0.227612,0.0612579,0.268765,0.227924,0.280181,0.306954,0.261142,0.587135,0.0793414,6.56246,0.311276,,0.384694,5.79227,-3.21194,65.2303,0.384694,0,-2.7556594908237457,-0.4292929172515869,-0.0664617,999,,,,,,,60.5,3.361111111,60.5,3.361111111,,,,,,,,,,,,,,,,,,,"Brandon Lockridge","21496",663604
"Michael Siani","LAD",10,42.1521,37.698,7.69942,5.86544,1.2142,0.253417,0.366363,4.65697,2.46921,3.33346,0.0806349,10.4999,0.333775,0.242631,0.544277,0.700869,1.68277,0.365333,0.20424,0.0790816,0.249095,0.317476,0.273185,0.279048,0.248852,0.552234,0.0748083,6.55186,0.270849,,0.124545,2.78334,-2.19726,56.5658,0.124545,0,-2.0453814640641212,-0.05144033208489418,-0.0710469,999,,,,,,,22.5,2.25,22.5,2.25,,,,,,,,,,,,,,,,,,,"Michael Siani","22557",672279
