Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Kyle Harrison","BOS",4,5,3,4.19898,42,8,0,1,,78,335,74,39,36,11,29,,4,78,8.97282,3.38409,2.65147,1.24,0.232912,0.0878426,0.14506974816322327,0.244881,1.32092,0.296315,0.727562,,,4.19774,0.560534,0.614674,534.5999755859375,,,,,,,310.5,3.980769230769231,308,3.948717948717949,,,,,,,,,,,,,,,,,,,"Kyle Harrison","27758",690986
"Aaron Bummer","ATL",3,3,0,3.39448,61,0,0,13,,61,258,56,25,23,5,23,,4,62,9.20948,3.39892,2.70953,0.706,0.241493,0.089127,0.15236561000347137,0.242066,1.29761,0.31182,0.740988,,,3.41897,0.550292,0.750572,999,,,,,,,339.30000000000007,5.562295081967214,335,5.491803278688525,,,,,,,,,,,,,,,,,,,"Aaron Bummer","16258",607481
"Cole Sands","MIN",3,3,0,3.93339,68,0,5,15,,68,288,64,32,30,8,21,,3,67,8.91609,2.83123,3.14919,1.095,0.234196,0.0743669,0.1598290130496025,0.243818,1.25761,0.298091,0.724203,,,3.8225,0.54468,0.420027,604.469970703125,,,,,,,385.4000000000001,5.667647058823531,383,5.632352941176471,,,,,,,,,,,,,,,,,,,"Cole Sands","21461",663485
"Blake Treinen","LAD",3,3,0,3.76806,58,0,1,14,,58,245,51,26,24,7,22,,2,64,9.92683,3.39496,2.92399,1.096,0.261628,0.0894761,0.17215145379304886,0.231962,1.25785,0.295079,0.740783,,,3.77044,0.533477,0.487626,739.8699951171875,,,,,,,327.5,5.646551724137931,316,5.448275862068965,,,,,,,,,,,,,,,,,,,"Blake Treinen","12572",595014
"Riley O'Brien","STL",3,3,0,3.53553,63,0,17,9,,63,269,56,27,25,6,27,,4,64,9.13723,3.83634,2.38175,0.791,0.237771,0.0998301,0.13794075697660446,0.236191,1.32045,0.300552,0.741902,,,3.69915,0.527934,0.886612,285.6000061035156,,,,,,,402.80000000000007,6.393650793650795,393,6.238095238095238,,,,,,,,,,,,,,,,,,,"Riley O'Brien","20348",676617
"Bryce Elder","ATL",4,4,4,4.42918,18,10,0,1,,63,271,67,33,31,8,20,,2,51,7.41197,2.95118,2.51153,1.135,0.189754,0.0755533,0.11420097947120667,0.268029,1.39279,0.310507,0.706843,,,4.22874,0.526664,0.57048,681.9299926757812,,,,,,,233.60000000000008,3.7079365079365094,251,3.984126984126984,,,,,,,,,,,,,,,,,,,"Bryce Elder","27779",693821
"Justin Wilson",,3,2,0,3.44412,50,0,0,0,,50,208,43,21,19,6,18,,2,55,9.86283,3.18852,3.09323,1.03,0.262899,0.0849918,0.1779075786471367,0.227058,1.21152,0.289576,0.757647,,,3.61007,0.525867,0.583302,750.0700073242188,,,,,,,234.39999999999998,4.688,222,4.44,,,,,,,,,,,,,,,,,,,"Justin Wilson","4301",458677
"Kody Funderburk","MIN",3,3,0,3.69622,65,0,10,9,,65,279,61,29,27,6,27,,4,62,8.63085,3.68529,2.34197,0.836,0.223443,0.0954081,0.12803491204977036,0.245674,1.34981,0.305309,0.737553,,,3.81754,0.518315,0.710474,741.469970703125,,,,,,,365.6,5.624615384615385,364,5.6,,,,,,,,,,,,,,,,,,,"Kody Funderburk","24993",681892
"Brandon Sproat","NYM",3,3,4,4.11652,18,8,0,1,,56,240,55,28,26,7,21,,3,45,7.26969,3.38246,2.14923,1.06,0.187576,0.0872759,0.10030017793178558,0.253622,1.35984,0.293209,0.721057,,,4.32986,0.515927,0.495415,484.6700134277344,,,,,,,207.30000000000007,3.7017857142857156,211,3.767857142857143,,,,,,,,,,,,,,,,,,,"Brandon Sproat","33850",687075
"Kevin Ginkel","ARI",3,3,0,3.8125,60,0,2,15,,60,255,56,28,25,6,22,,2,62,9.28623,3.2604,2.84819,0.952,0.243093,0.08535,0.15774279087781906,0.242195,1.29282,0.304954,0.728819,,,3.65358,0.515323,0.493062,703.8699951171875,,,,,,,346.6,5.776666666666667,344,5.733333333333333,,,,,,,,,,,,,,,,,,,"Kevin Ginkel","19876",656464
