Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Duncan Snider",,0.047,0.0737,0.0588,5.25492,0.2035,0.1695,0,0,,1,4.481,1.1048,0.6243,0.58388,0.158444,0.4289,0.0049,0.0454,0.6687,6.0183,3.8601,1.5591,1.426,0.14923,0.0957152,0.05351483076810837,0.275738,1.5337,0.297638,0.693205,0.420999,,5.28041,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Duncan Snider","sa3019695",805829
"Deyni Olivero",,0.047,0.0745,0.0572,5.46057,0.1754,0.1754,0,0,,1,4.5,1.1732,0.6488,0.60673,0.152444,0.3932,0.0041,0.0419,0.5701,5.1309,3.5388,1.4499,1.372,0.126689,0.0873778,0.03931111842393875,0.288617,1.5664,0.3054,0.678208,0.436213,,5.28201,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Deyni Olivero","sa917869",666007
"Ryan Magdic","ATH",0.049,0.0699,0.0555,5.16627,0.2628,0.1568,0,0,,1,4.476,1.1225,0.6155,0.57403,0.153222,0.4204,0.0066,0.0454,0.6204,5.5836,3.7836,1.47574,1.379,0.138606,0.0939232,0.04468275606632233,0.279911,1.5429,0.299476,0.698139,0.435356,,5.28363,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Ryan Magdic","sa3036846",678163
"Dalton Pence","TEX",0.0489,0.0696,0.0559,5.05791,0.2793,0.1533,0,0,,1,4.473,1.0404,0.5993,0.56199,0.161889,0.4815,0.007,0.0388,0.7575,6.8175,4.3335,1.57321,1.457,0.169349,0.107646,0.061703555285930634,0.263213,1.5219,0.289621,0.712292,0.375027,,5.28559,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Dalton Pence","sa3039663",701717
"Norwith Gudiño",,0.0447,0.0708,0.0416,5.39937,0.389,0.13,0,0,,1,4.46,1.1473,0.6394,0.59993,0.166667,0.3694,0.01,0.0411,0.6226,5.6034,3.3246,1.68544,1.5,0.139596,0.0828251,0.056771308183670044,0.283319,1.5167,0.300786,0.683593,0.412036,,5.2881,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Norwith Gudino","sa872808",660508
"Ramsey David","HOU",0.0473,0.0668,0.0406,5.19228,0.4319,0.1209,0,0,,1,4.506,1.0507,0.6177,0.57692,0.151444,0.5107,0.0113,0.0552,0.7557,6.8013,4.5963,1.47973,1.363,0.16771,0.113338,0.05437195301055908,0.266668,1.5614,0.296495,0.699359,0.433223,,5.29021,-0.000381896,-0.00121267,999,,,,,,,3.8000000000000003,3.8000000000000003,4,4,,,,,,,,,,,,,,,,,,,"Ramsey David","sa3025476",687062
"Mike Minor",,0.048,0.0735,0.0618,5.22459,0.1754,0.1754,0,0,,1,4.446,1.0949,0.6169,0.58051,0.177111,0.3746,0.0082,0.0475,0.7067,6.3603,3.3714,1.88655,1.594,0.158952,0.0842555,0.07469635456800461,0.272099,1.4695,0.292281,0.697969,0.362003,,5.29048,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Mike Minor","10021",501985
"Josh Randall","WSN",0.0445,0.0772,0.0623,5.19768,0.1754,0.1754,0,0,,1,4.437,1.1514,0.6198,0.57752,0.157222,0.3549,0.0041,0.0416,0.5382,4.8438,3.1941,1.51648,1.415,0.121298,0.0799865,0.041311703622341156,0.284965,1.5063,0.297206,0.689246,0.446846,,5.29213,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Josh Randall","sa3025585",695620
"Wilkel Hernandez",,0.0475,0.0708,0.0533,5.13558,0.2876,0.1516,0,0,,1,4.426,1.0889,0.6091,0.57062,0.168889,0.3733,0.0071,0.0487,0.652,5.868,3.3597,1.74658,1.52,0.147311,0.0843425,0.06296882778406143,0.271953,1.4622,0.289029,0.695979,0.394993,,5.29269,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Wilkel Hernandez","sa918026",665859
"Cole Peschl","MIN",0.0455,0.0735,0.0523,5.34546,0.2645,0.1565,0,0,,1,4.516,1.1372,0.6362,0.59394,0.148778,0.4432,0.0067,0.0444,0.6196,5.5764,3.9888,1.39801,1.339,0.137201,0.0981399,0.03906112164258957,0.282296,1.5804,0.303195,0.688137,0.445906,,5.29285,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Cole Peschl","sa3039760",828497
"Luis Cessa",,0.0458,0.0748,0.0577,5.29461,0.2068,0.1688,0,0,,1,4.447,1.1417,0.6298,0.58829,0.171444,0.3737,0.0042,0.0359,0.6474,5.8266,3.3633,1.73241,1.543,0.145581,0.0840342,0.061547115445137024,0.282781,1.5154,0.301457,0.694382,0.448015,,5.29791,-0.000381896,-0.00121267,999,,,,,,,6.800000000000001,6.800000000000001,7,7,,,,,,,,,,,,,,,,,,,"Luis Cessa","13345",570666
