Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Brandon Sproat","NYM",2.90997,3.28873,2.06944,4.20923,18,8,0,0.7021,,47.1464,200.132,44.1161,23.55,22.05,5.84065,16.2244,0.350659,2.14838,39.2113,7.48523,3.09715,2.41681,1.11495,0.195927,0.0810683,0.1148587241768837,0.242717,1.27985,0.279981,0.705291,,,4.25132,0.57242,0.433175,494.2799987792969,,,,,,,187.6,3.9914893617021274,185,3.9361702127659575,,,,,,,,,,,,,,,,,,,"Brandon Sproat","33850",687075
"Bryan King","HOU",2.22572,1.42702,0,3.66958,67,0,0,16.8576,,57.3172,241.946,49.7023,25.06,23.37,5.56902,21.3187,1.13618,2.90254,57.017,8.95286,3.34748,2.6745,0.874453,0.23566,0.0881136,0.14754661917686462,0.228281,1.23909,0.284477,0.726951,,,3.67646,0.569109,0.490904,746.0599975585938,,,,,,,327.99999999999994,5.75438596491228,317,5.56140350877193,,,,,,,,,,,,,,,,,,,"Bryan King","25890",687911
"David Festa","MIN",2.14208,2.01764,0.784425,4.06863,35,3,0,0.6546,,45.5682,193.394,40.1928,22.07,20.6,5.55415,17.0894,0.882566,2.19577,48.4744,9.57401,3.37526,2.83652,1.09698,0.250651,0.0883654,0.16228529810905457,0.230848,1.25706,0.288461,0.711265,,,3.86175,0.560372,0.355335,632.3900146484375,,,,,,,205.60000000000002,4.469565217391305,195,4.239130434782608,,,,,,,,,,,,,,,,,,,"David Festa","30056",701581
"Jimmy Herget","COL",3.23965,3.38585,0.563934,4.75121,76,2,0,14.0266,,88.3669,381.094,88.9746,50.05,46.65,12.9164,26.7589,2.44191,4.64526,82.1282,8.3646,2.72534,3.06919,1.31551,0.215506,0.070216,0.14529042690992355,0.254439,1.30969,0.298683,0.672638,,,4.24266,0.55882,-0.302909,750,,,,,,,383.9000000000001,4.362500000000001,395,4.488636363636363,,,,,,,,,,,,,,,,,,,"Jimmy Herget","17556",623474
"Payton Tolle","BOS",3.41876,3.73315,2.12719,4.43564,32,8,0,0.6704,,62.1489,267.086,56.7692,32.9,30.63,9.05609,25.3072,0.822113,2.5468,62.2721,9.01783,3.66482,2.46065,1.31144,0.233153,0.0947528,0.13840042799711227,0.237297,1.32064,0.284169,0.708616,,,4.37003,0.551452,0.326554,345.2200012207031,,,,,,,243.89999999999998,3.9338709677419352,237,3.8225806451612905,,,,,,,,,,,,,,,,,,,"Payton Tolle","35466",801139
"Seranthony Domínguez",,3.6122,3.65824,0,3.84,63,0,0,0,,63,266.283,49.9143,28.75,26.88,7.36789,28.2267,1.17494,3.63188,72.8328,10.4047,4.03238,2.58028,1.05256,0.273517,0.106003,0.16751397401094437,0.212923,1.24033,0.275875,0.728202,,,3.86042,0.550567,0.401739,537,,,,,,,300.1,4.7634920634920634,274,4.349206349206349,,,,,,,,,,,,,,,,,,,"Seranthony Dominguez","19249",622554
"Gabe Speier","SEA",2.19898,1.46026,0,3.39915,58,0,0,11.7185,,38.1536,156.532,31.1392,15.51,14.41,4.29524,11.1812,1.04297,1.68279,45.5498,10.7447,2.63752,4.07379,1.0132,0.290994,0.0714309,0.21956344693899155,0.216745,1.10921,0.286114,0.738435,,,3.22242,0.550034,0.395738,702.5599975585938,,,,,,,252.4,6.6421052631578945,239,6.2894736842105265,,,,,,,,,,,,,,,,,,,"Gabe Speier","17170",642100
"Erik Sabrowski","CLE",2.1703,1.74808,0,3.45897,61,0,0,13.7034,,42.1773,179.254,30.3586,17.34,16.21,3.84352,22.8027,0.942927,2.37601,55.612,11.8668,4.86576,2.43883,0.82015,0.310242,0.127209,0.18303260207176208,0.197038,1.26042,0.280228,0.749708,,,3.47366,0.546928,0.508132,999,,,,,,,276.6,6.585714285714286,251,5.976190476190476,,,,,,,,,,,,,,,,,,,"Erik Sabrowski","24978",681870
"Bryce Elder","ATL",3.47395,4.01505,2.69392,4.72087,18,10,0,0.6599,,55.782,240.684,57.7558,31.24,29.26,7.22793,18.2679,0.40953,2.26267,43.4915,7.01702,2.94738,2.38077,1.16617,0.1807,0.0758998,0.10479988157749176,0.262343,1.36287,0.298216,0.679523,,,4.36441,0.54611,0.308433,667.0599975585938,,,,,,,207.50000000000006,3.7053571428571437,219,3.9107142857142856,,,,,,,,,,,,,,,,,,,"Bryce Elder","27779",693821
"Daniel Palencia","CHC",2.80116,1.82945,0,3.62973,67,0,0,4.4788,,46.6894,196.625,37.1592,20.14,18.83,4.61407,20.0201,0.959218,2.66102,52.8128,10.1804,3.85913,2.638,0.889423,0.268597,0.101819,0.16677835583686831,0.213628,1.22467,0.279317,0.730276,,,3.61491,0.534132,0.467855,131.05999755859375,,,,,,,243.10000000000002,5.172340425531916,223,4.74468085106383,,,,,,,,,,,,,,,,,,,"Daniel Palencia","27914",694037
