Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Jerar Encarnacion","SFG",41,175,157,36,23,6,0,6,19,20,15,0,56,1,1,1,,2,1,0.228979,0.0830001,0.321883,0.257858,0.297699,0.391389,0.300791,0.689089,0.16241,3.79366,0.310532,-0.169354,-0.134819,18.9351,-1.74252,94.03,-0.304173,-0.0221051,-1.5424163043498993,-3.297105185687542,0.10055,684.2000122070312,,,,,,,167.4,4.082926829,167.4,4.082926829,,,,,,,,,,,,,,,,,,,"Jerar Encarnacion","21871",666464
"Aidan Miller","PHI",10,42,37,8,5,2,0,1,5,4,4,0,11,1,0,0,,2,1,0.220658,0.103101,0.264248,0.390166,0.309072,0.343273,0.291574,0.652345,0.122614,5.59007,0.29046,-0.00334596,0.0891826,4.2301,-0.73252,83.7119,0.0858367,0,-0.7249622642993927,0.29999998211860657,0.0994875,999,,,,,,,39,3.9,39,3.9,,,,,,,,,,,,,,,,,,,"Aidan Miller","sa3022609",805795
"Anthony Seigler","MIL",10,42,36,8,5,2,0,1,5,4,5,0,10,0,0,0,,1,0,0.210731,0.125801,0.241774,0.520325,0.315993,0.340963,0.294962,0.656956,0.130232,5.22183,0.265093,-0.00147384,0.0374186,4.34565,-0.616971,88.3983,0.0359448,-0.0677968,-0.5415738895535469,0.08220318704843521,0.095967,999,,,,,,,40.9,4.09,40.9,4.09,,,,,,,,,,,,,,,,,,,"Anthony Seigler","23802",678011
"Brice Matthews","HOU",8,35,31,7,4,1,0,1,4,4,3,0,11,0,0,0,,1,0,0.216387,0.0930008,0.321632,0.289153,0.297388,0.369826,0.294134,0.667213,0.153439,6.3056,0.299066,0.00291892,0.06379,3.59784,-0.53768,87.7369,0.0667089,-0.00218919,-0.4391629919409752,0.12281081080436707,0.0908833,491.8699951171875,,,,,,,31.4,3.925,31.4,3.925,,,,,,,,,,,,,,,,,,,"Brice Matthews","33280",694728
"Mickey Gasper","MIN",6,26,23,5,4,1,0,1,3,3,3,0,5,0,0,0,,0,0,0.235884,0.1071,0.19925,0.537514,0.328547,0.369995,0.310517,0.698542,0.134111,3.61938,0.278488,-0.0158325,-0.0238131,3.04174,-0.0539953,97.6892,-0.0396455,-0.0135707,-0.1110013835132122,0.23642931878566742,0.0901251,999,,,,,,,26.3,4.383333333,26.3,4.383333333,,,,,,,,,,,,,,,,,,,"Mickey Gasper","24759",681508
"Tre' Morgan","TBR",15,63,55,13,9,2,0,1,7,6,7,0,13,1,0,0,,1,0,0.243746,0.1049,0.210822,0.497575,0.329932,0.373437,0.311044,0.70337,0.129691,4.18772,0.294133,0,-0.039498,7.34109,-0.102848,97.9284,-0.039498,0,-0.19331977888941765,-1.125,0.0869695,999,,,,,,,58.9,3.926666666,58.9,3.926666666,,,,,,,,,,,,,,,,,,,"Tre' Morgan","sa3022919",691003
"Coby Mayo","BAL",8,35,31,7,4,2,0,1,4,4,3,0,10,0,0,0,,0,0,0.231406,0.0914003,0.271849,0.336217,0.308692,0.417581,0.31561,0.726272,0.186175,4.06754,0.286089,0.00972648,-0.0290196,4.20812,0.0726051,103.4,-0.0192932,-0.161568,0.12096956185996532,-0.4865677058696747,0.0858448,383.1300048828125,,,,,,,32.4,4.05,32.4,4.05,,,,,,,,,,,,,,,,,,,"Coby Mayo","28312",691723
"Jhostynxon Garcia","PIT",110,476,435,101,66,19,3,14,46,50,32,0,129,5,3,1,,5,2,0.231888,0.0673,0.270733,0.248584,0.289859,0.381287,0.292991,0.671146,0.149399,4.26153,0.295188,0,-0.352844,48.4892,-7.75392,84.4102,-0.352844,-0.669099,-9.147947579622269,-5.869099020957947,0.0838542,551.8699951171875,,,,,,,449.3,4.084545454,449.3,4.084545454,,,,,,,,,,,,,,,,,,,"Jhostynxon Garcia","28142",691373
"Garrett Stubbs","PHI",63,250,223,48,34,9,1,4,25,22,20,0,61,3,2,1,,3,1,0.215062,0.0810997,0.245249,0.330683,0.287626,0.318162,0.270259,0.605788,0.1031,4.27773,0.273457,-0.211092,-0.0817981,20.8196,-8.67259,69.1111,-0.29289,-0.659847,-9.430684685707092,4.21515280008316,0.0830503,999,,,,,,,187.1,2.969841269,187.1,2.969841269,,,,,,,,,,,,,,,,,,,"Garrett Stubbs","18067",596117
"Myles Straw","TOR",34,147,133,31,23,6,1,1,14,12,11,0,30,1,1,1,,5,1,0.233043,0.0776998,0.201424,0.385753,0.295744,0.312255,0.271523,0.607999,0.0792117,5.17357,0.288334,0.180698,0.284707,12.4124,-4.9568,72.1898,0.465405,0.676884,-4.352895081043243,0.1018836498260498,0.0827186,742.2000122070312,,,,,,,115.8,3.405882352,115.8,3.405882352,,,,,,,,,,,,,,,,,,,"Myles Straw","17620",664702
