player_name,mlbid,final_adp,week,x1b,x2b,x3b,hr,bb,hbp,r,rbi,sb,ud_points,week_rank,rank_group
Trevor Story,596115,238.76,2025-07-28,2,4,0,3,2,1,7,8,1,103,2,IF1
Mookie Betts,605141,16.08,2025-09-08,7,3,0,2,3,0,7,10,0,102,1,IF1
Freddie Freeman,518692,26.39,2025-08-18,4,3,0,3,3,1,7,6,1,102,3,IF1
Alex Bregman,608324,60.11,2025-03-31,4,5,0,2,2,0,7,10,0,102,1,IF1
Pete Alonso,624413,29.95,2025-04-28,6,2,0,2,7,1,8,5,0,100,1,IF1
Corey Seager,608369,43.68,2025-07-07,7,2,0,2,6,1,8,5,0,100,3,IF1
Jose Altuve,514888,81.09,2025-08-04,6,1,0,3,4,0,7,6,2,100,1,IF1
Francisco Lindor,596019,17.8,2025-05-05,4,2,0,3,2,1,5,7,3,99,2,IF1
CJ Abrams,682928,79.08,2025-06-16,5,1,0,2,6,0,8,4,4,99,3,IF1
Josh Naylor,647304,89.6,2025-08-04,2,2,0,3,2,1,6,5,5,99,2,IF1
Zach Neto,687263,202.06,2025-07-07,8,2,0,2,3,0,10,3,2,99,4,IF1
Geraldo Perdomo,672695,240,2025-08-11,5,1,0,2,6,0,9,3,4,99,2,IF1
Ketel Marte,606466,37.6,2025-06-02,4,0,0,4,6,0,6,8,0,98,2,IF1
Mark Vientos,668901,83.69,2025-08-25,3,2,0,3,3,2,6,10,0,98,2,IF1
Isaac Paredes,670623,121.15,2025-05-19,6,1,0,4,1,1,7,7,0,98,2,IF1
Jeremy Pena,665161,180.02,2025-05-26,6,1,0,3,2,0,6,5,4,98,3,IF1
Willson Contreras,575929,182.14,2025-07-21,3,5,0,2,2,3,6,6,0,98,2,IF1
Jose Ramirez,608070,8.37,2025-03-31,2,2,0,4,4,1,5,5,1,97,2,IF1
Pete Alonso,624413,29.95,2025-03-31,3,2,0,3,3,1,6,11,0,97,2,IF1
Rafael Devers,646240,35.39,2025-03-31,6,3,0,1,7,0,8,7,0,97,2,IF1
Ketel Marte,606466,37.6,2025-08-11,5,3,0,2,3,1,6,8,1,97,3,IF1
Oneil Cruz,665833,50.09,2025-05-19,2,1,1,3,5,0,7,5,2,97,3,IF1
Cal Raleigh,663728,152.19,2025-04-14,3,1,0,4,4,0,5,8,1,97,2,IF1
Yandy Diaz,650490,154.91,2025-09-15,10,2,0,1,9,0,5,4,0,97,2,IF1
