player_name,mlbid,final_adp,week,w,qs,outs,so,er,ud_points,week_rank,rank_group
Zack Wheeler,554430,40.13,2025-06-30,2,2,51,22,1,134,1,P1
Ranger Suarez,624133,230.82,2025-08-18,2,2,41,21,2,118,1,P1
Garrett Crochet,676979,45.81,2025-05-26,1,2,41,23,3,116,1,P1
Garrett Crochet,676979,45.81,2025-09-08,2,2,39,22,3,116,1,P1
Merrill Kelly,518876,229.59,2025-05-12,2,2,42,19,1,116,1,P1
Cole Ragans,666142,57.5,2025-04-07,1,2,41,21,2,113,1,P1
Hunter Greene,668881,97.59,2025-04-07,2,2,47,15,0,112,2,P1
Hunter Brown,686613,102.8,2025-04-21,2,2,39,18,1,110,1,P1
Bryan Woo,693433,161.21,2025-09-08,2,2,36,22,4,110,2,P1
Tarik Skubal,669373,28.21,2025-05-19,1,1,44,21,3,108,1,P1
Zack Wheeler,554430,40.13,2025-05-05,2,2,42,17,2,107,1,P1
Hunter Greene,668881,97.59,2025-09-01,1,2,40,19,2,106,1,P1
Kris Bubic,663460,238.54,2025-03-31,2,2,38,16,0,106,1,P1
Tarik Skubal,669373,28.21,2025-06-23,2,1,39,21,4,105,1,P1
Kevin Gausman,592332,125.67,2025-07-21,1,2,39,18,1,105,1,P1
Trevor Rogers,669432,NA,2025-08-18,2,2,42,16,2,104,2,P1
Jesus Luzardo,666200,176.07,2025-05-19,1,2,39,20,4,102,2,P1
Ryan Pepiot,686752,190.49,2025-06-16,2,1,39,18,2,102,1,P1
Brayan Bello,678394,239.54,2025-07-07,2,2,46,15,3,102,1,P1
Paul Skenes,694973,19.33,2025-07-21,2,2,36,15,0,101,2,P1
Tarik Skubal,669373,28.21,2025-08-25,1,2,41,16,1,101,1,P1
Spencer Schwellenbach,680885,86.92,2025-06-23,2,2,42,16,3,101,2,P1
Bryan Woo,693433,161.21,2025-08-04,2,2,39,18,4,101,1,P1
Jose Soriano,667755,238.37,2025-06-16,1,2,41,16,1,101,2,P1
Lucas Giolito,608337,238.53,2025-08-25,2,2,42,14,1,101,1,P1
Tyler Glasnow,607192,109,2025-09-08,2,2,41,15,2,100,3,P1
Nathan Eovaldi,543135,193.86,2025-07-07,2,2,41,14,1,100,2,P1
Paul Skenes,694973,19.33,2025-06-02,0,2,47,15,1,99,1,P1
Bryan Woo,693433,161.21,2025-06-23,1,2,36,18,2,99,3,P1
Ronel Blanco,669854,220.43,2025-05-05,1,2,42,17,3,99,2,P1
Jake Irvin,663623,NA,2025-04-14,2,2,40,15,2,99,1,P1
Nathan Eovaldi,543135,193.86,2025-05-05,2,2,39,14,1,98,3,P1
Ranger Suarez,624133,230.82,2025-06-23,1,2,44,15,2,98,4,P1
Logan Webb,657277,89.7,2025-06-02,0,2,42,17,2,97,2,P1
Freddy Peralta,642547,106.07,2025-07-07,2,2,38,14,1,97,3,P1
Grant Holmes,656550,230.63,2025-06-09,0,1,35,24,5,97,1,P1
George Kirby,669923,127.32,2025-06-30,2,2,37,14,1,96,2,P1
Sonny Gray,543243,129.65,2025-08-04,1,2,42,15,2,96,2,P1
Kris Bubic,663460,238.54,2025-05-19,1,2,42,14,1,96,3,P1
David Peterson,656849,239.2,2025-08-18,1,1,41,18,3,96,3,P1
Dean Kremer,665152,239.89,2025-08-11,1,2,45,13,1,96,1,P1
Yoshinobu Yamamoto,808967,87.21,2025-07-28,2,1,38,15,1,95,1,P1
Jose Soriano,667755,238.37,2025-08-25,2,1,38,14,0,95,3,P1
Seth Lugo,607625,136.46,2025-06-16,1,2,37,16,2,94,3,P1
Cristopher Sanchez,650911,137.12,2025-07-07,1,2,43,14,2,94,4,P1
Taj Bradley,671737,174.81,2025-05-26,0,2,42,16,2,94,2,P1
Paul Skenes,694973,19.33,2025-08-18,1,2,39,15,2,93,4,P1
Zack Wheeler,554430,40.13,2025-06-09,1,2,36,16,2,93,2,P1
Framber Valdez,664285,83.25,2025-05-12,1,2,45,15,4,93,2,P1
Robbie Ray,592662,127.55,2025-05-19,1,2,39,14,1,93,4,P1
Nick Pivetta,601713,150.28,2025-08-18,1,2,36,17,3,93,4,P1
Tylor Megill,656731,239.59,2025-04-21,1,1,35,19,3,93,2,P1
Tyler Mahle,641816,NA,2025-04-14,1,2,39,13,0,93,2,P1
Hunter Brown,686613,102.8,2025-05-26,2,2,36,13,1,92,3,P1
Zac Gallen,668678,113.12,2025-09-15,2,2,39,15,4,92,1,P1
Jack Flaherty,656427,136.28,2025-06-02,2,2,36,13,1,92,3,P1
Paul Skenes,694973,19.33,2025-05-12,0,2,42,15,2,91,3,P1
Garrett Crochet,676979,45.81,2025-04-07,1,1,39,16,2,91,3,P1
Chris Sale,519242,66.64,2025-05-05,0,1,37,18,2,90,4,P1
Eury Perez,691587,237.61,2025-07-07,2,1,36,14,1,90,5,P1
Lucas Giolito,608337,238.53,2025-06-16,1,2,36,15,2,90,4,P1
Jack Leiter,683004,238.35,2025-07-21,2,2,36,14,3,89,3,P1
Eduardo Rodriguez,593958,239.58,2025-06-23,1,1,34,16,1,89,5,P1
Charlie Morton,450203,238.52,2025-05-26,2,2,38,12,2,88,4,P1
Shane Smith,681343,239.56,2025-09-22,1,1,33,16,1,88,1,P1
Martin Perez,527048,NA,2025-03-31,1,2,37,13,1,88,2,P1
Sandy Alcantara,645261,112.89,2025-08-25,1,2,42,13,3,87,4,P1
Sonny Gray,543243,129.65,2025-05-19,1,2,36,15,3,87,5,P1
Nick Pivetta,601713,150.28,2025-07-07,0,1,37,15,0,87,6,P1
Brady Singer,663903,227.02,2025-03-31,2,1,36,15,3,87,3,P1
Justin Verlander,434378,238.33,2025-08-25,2,1,33,15,2,87,4,P1
Matthew Boyd,571510,239.73,2025-06-30,2,1,36,14,2,87,3,P1
Freddy Peralta,642547,106.07,2025-04-28,2,2,36,12,2,86,1,P1
Shota Imanaga,684007,101.3,2025-08-04,0,2,39,16,4,85,3,P1
George Kirby,669923,127.32,2025-06-02,1,1,36,17,4,85,4,P1
Cristopher Sanchez,650911,137.12,2025-09-22,0,1,38,14,0,85,2,P1
Yusei Kikuchi,579328,146.02,2025-06-09,1,1,39,15,3,85,3,P1
Bryan Woo,693433,161.21,2025-05-12,1,2,40,11,1,85,4,P1
Grant Holmes,656550,230.63,2025-06-30,0,2,36,15,2,85,4,P1
Max Meyer,676974,239.43,2025-04-21,1,1,30,20,5,85,3,P1
Spencer Strider,675911,71.74,2025-09-15,2,1,36,12,1,84,2,P1
Max Fried,608331,108.44,2025-04-14,2,2,43,9,2,84,3,P1
Max Fried,608331,108.44,2025-06-09,1,2,42,13,4,84,4,P1
Cristopher Sanchez,650911,137.12,2025-06-02,1,2,39,13,3,84,5,P1
Brady Singer,663903,227.02,2025-08-18,1,2,36,13,2,84,6,P1
Zack Littell,641793,239.48,2025-05-26,2,2,46,10,4,84,5,P1
Matthew Boyd,571510,239.73,2025-05-05,1,2,36,15,4,84,5,P1
Landen Roupp,694738,239.78,2025-04-14,2,1,36,17,6,84,3,P1
Andrew Abbott,671096,239.97,2025-08-11,0,2,44,13,3,84,2,P1
Edward Cabrera,665795,239.99,2025-06-30,1,2,42,11,2,84,5,P1
Hayden Wesneski,669713,NA,2025-04-07,1,2,39,15,5,84,4,P1
Logan Gilbert,669302,55.11,2025-07-21,1,1,34,17,4,83,4,P1
Walker Buehler,621111,190.38,2025-04-21,2,2,39,12,4,83,4,P1
Lucas Giolito,608337,238.53,2025-07-28,2,2,42,9,2,83,2,P1
Will Warren,701542,238.96,2025-06-16,0,2,37,17,5,83,5,P1
Clarke Schmidt,657376,239.76,2025-06-16,1,2,44,8,0,83,5,P1
Ryne Nelson,669194,239.82,2025-06-30,1,2,41,12,3,83,6,P1
Matthew Liberatore,669461,NA,2025-06-23,2,2,39,10,2,83,6,P1
Logan Webb,657277,89.7,2025-04-07,1,1,36,15,3,82,5,P1
Mitch Keller,656605,182.86,2025-08-25,1,1,33,16,3,82,6,P1
Brayan Bello,678394,239.54,2025-06-09,1,2,40,12,3,82,5,P1
Cole Ragans,666142,57.5,2025-09-22,1,0,28,18,2,81,3,P1
Framber Valdez,664285,83.25,2025-06-23,1,2,39,9,0,81,7,P1
Carlos Rodon,607074,148.15,2025-09-15,1,2,39,12,3,81,3,P1
Merrill Kelly,518876,229.59,2025-04-14,1,1,35,14,2,81,5,P1
Merrill Kelly,518876,229.59,2025-08-18,1,2,39,11,2,81,7,P1
Chris Paddack,663978,239.98,2025-05-26,0,1,40,15,3,81,6,P1
Cole Ragans,666142,57.5,2025-05-05,1,0,30,19,4,80,6,P1
Michael King,650633,76.46,2025-04-07,2,1,44,10,3,80,6,P1
Brandon Pfaadt,694297,168.26,2025-04-21,2,2,36,11,3,80,5,P1
Tarik Skubal,669373,28.21,2025-04-14,1,1,36,13,2,79,6,P1
Freddy Peralta,642547,106.07,2025-08-18,1,1,33,12,0,79,8,P1
Tyler Glasnow,607192,109,2025-08-04,0,1,38,15,3,79,4,P1
Bailey Ober,641927,118.13,2025-04-28,2,2,41,8,2,79,2,P1
Clay Holmes,605280,151.97,2025-04-14,1,1,33,14,2,79,6,P1
Shane Baz,669358,218.42,2025-09-01,1,1,33,14,2,79,2,P1
Will Warren,701542,238.96,2025-05-19,1,0,29,17,2,79,6,P1
Shane Smith,681343,239.56,2025-08-25,1,2,40,10,2,79,7,P1
Edward Cabrera,665795,239.99,2025-05-19,1,0,32,17,3,79,6,P1
Simeon Woods Richardson,680573,239.99,2025-09-15,1,1,33,14,2,79,4,P1
Martin Perez,527048,NA,2025-08-25,0,2,39,12,2,79,7,P1
Logan Webb,657277,89.7,2025-06-30,1,2,39,13,5,78,7,P1
Luis Castillo,622491,101.92,2025-05-19,1,2,39,11,3,78,8,P1
Nick Lodolo,666157,188.35,2025-04-21,1,1,38,13,3,78,6,P1
Brandon Woodruff,605540,204.68,2025-07-21,1,2,36,11,2,78,5,P1
Ranger Suarez,624133,230.82,2025-05-26,1,2,36,10,1,78,7,P1
Jack Leiter,683004,238.35,2025-08-18,1,1,32,15,3,78,9,P1
Michael Soroka,647336,239.82,2025-06-16,0,1,34,19,6,78,7,P1
Edward Cabrera,665795,239.99,2025-07-28,1,2,36,11,2,78,3,P1
Max Fried,608331,108.44,2025-09-01,2,2,42,9,4,77,3,P1
Jesus Luzardo,666200,176.07,2025-08-04,2,2,36,11,4,77,5,P1
Jackson Jobe,695549,180.19,2025-05-12,2,1,35,12,3,77,5,P1
Jeffrey Springs,605488,237.55,2025-05-12,1,2,41,9,2,77,5,P1
Eury Perez,691587,237.61,2025-09-15,1,0,27,15,0,77,5,P1
Zack Wheeler,554430,40.13,2025-07-21,0,1,35,18,6,76,6,P1
Joe Ryan,657746,132.76,2025-06-30,0,2,39,12,3,76,8,P1
Carlos Rodon,607074,148.15,2025-05-05,0,1,38,15,4,76,7,P1
Mitch Keller,656605,182.86,2025-05-19,0,2,36,12,2,76,9,P1
Grant Holmes,656550,230.63,2025-04-14,2,1,40,11,4,76,8,P1
Jameson Taillon,592791,239.25,2025-05-26,2,2,38,9,3,76,8,P1
Andrew Abbott,671096,239.97,2025-05-12,1,1,33,12,1,76,7,P1
Paul Skenes,694973,19.33,2025-04-14,1,2,39,10,3,75,9,P1
Paul Skenes,694973,19.33,2025-06-30,0,0,30,15,0,75,9,P1
Yoshinobu Yamamoto,808967,87.21,2025-08-18,1,2,39,12,5,75,10,P1
Jacob deGrom,594798,96.37,2025-04-28,2,1,33,10,1,75,3,P1
Hunter Brown,686613,102.8,2025-08-25,0,2,38,12,3,75,9,P1
Kevin Gausman,592332,125.67,2025-05-26,1,1,38,13,4,75,9,P1
Sonny Gray,543243,129.65,2025-04-14,1,2,39,10,3,75,9,P1
Cristopher Sanchez,650911,137.12,2025-07-28,1,1,44,11,4,75,4,P1
Kodai Senga,673540,141.74,2025-04-07,2,1,36,8,0,75,7,P1
Yusei Kikuchi,579328,146.02,2025-08-04,2,1,33,14,5,75,6,P1
Reese Olson,681857,209.22,2025-04-28,1,0,34,15,3,75,3,P1
Tyler Mahle,641816,NA,2025-05-12,2,2,37,8,2,75,8,P1
Joe Boyle,671212,NA,2025-09-15,0,1,31,14,1,75,6,P1
Pablo Lopez,641154,86.1,2025-05-05,1,0,33,17,5,74,8,P1
Logan Webb,657277,89.7,2025-09-22,1,1,34,13,3,74,4,P1
George Kirby,669923,127.32,2025-09-08,1,1,31,16,5,74,4,P1
Matthew Liberatore,669461,NA,2025-04-07,1,1,37,14,5,74,8,P1
Garrett Crochet,676979,45.81,2025-04-28,1,1,36,12,3,73,5,P1
Dylan Cease,656302,52.79,2025-07-28,1,0,29,18,5,73,5,P1
Logan Gilbert,669302,55.11,2025-04-07,1,0,32,14,2,73,9,P1
Freddy Peralta,642547,106.07,2025-06-02,0,2,36,12,3,73,6,P1
Joe Ryan,657746,132.76,2025-08-25,1,1,36,15,6,73,10,P1
Tomoyuki Sugano,608372,238.15,2025-04-28,1,1,33,12,2,73,5,P1
Trevor Rogers,669432,NA,2025-06-30,1,1,36,11,2,73,10,P1
Jack Flaherty,656427,136.28,2025-07-07,0,1,34,15,4,72,7,P1
Yusei Kikuchi,579328,146.02,2025-04-14,0,1,34,12,1,72,11,P1
Jameson Taillon,592791,239.25,2025-09-15,1,2,39,7,1,72,7,P1
Michael Lorenzen,547179,239.59,2025-06-30,1,1,35,12,3,72,11,P1
Nick Martinez,607259,239.65,2025-04-28,1,2,36,9,2,72,7,P1
Chad Patrick,694477,NA,2025-05-26,1,1,32,12,2,72,10,P1
MacKenzie Gore,669022,158.05,2025-04-28,0,1,33,15,4,71,8,P1
Garrett Crochet,676979,45.81,2025-06-30,2,0,33,16,7,70,12,P1
Max Fried,608331,108.44,2025-09-15,1,1,21,13,0,70,8,P1
Sonny Gray,543243,129.65,2025-06-23,1,1,27,11,0,70,8,P1
Cristopher Sanchez,650911,137.12,2025-07-21,1,1,27,12,1,70,7,P1
MacKenzie Gore,669022,158.05,2025-04-07,1,1,36,14,6,70,10,P1
Nick Lodolo,666157,188.35,2025-05-19,1,1,33,13,4,70,10,P1
Chris Bassitt,605135,203.48,2025-06-16,0,2,36,12,4,70,8,P1
Shane Baz,669358,218.42,2025-06-09,1,1,36,11,3,70,6,P1
Merrill Kelly,518876,229.59,2025-07-07,1,1,36,10,2,70,8,P1
Griffin Canning,656288,238.91,2025-05-05,1,1,33,11,2,70,9,P1
David Peterson,656849,239.2,2025-05-12,0,2,36,11,3,70,9,P1
Drew Rasmussen,656876,239.34,2025-06-02,1,1,33,11,2,70,7,P1
Edward Cabrera,665795,239.99,2025-08-25,1,1,33,14,5,70,11,P1
Matthew Liberatore,669461,NA,2025-09-15,1,1,33,12,3,70,8,P1
Zac Gallen,668678,113.12,2025-03-31,1,1,20,13,0,69,4,P1
Tanner Bibee,676440,118.48,2025-06-02,0,2,38,12,5,69,8,P1
Jack Leiter,683004,238.35,2025-05-12,1,2,39,9,4,69,10,P1
David Peterson,656849,239.2,2025-03-31,1,1,32,12,3,69,4,P1
Clarke Schmidt,657376,239.76,2025-05-12,1,2,36,11,5,69,10,P1
Logan Allen,671106,NA,2025-04-14,1,0,34,11,1,69,12,P1
Chad Patrick,694477,NA,2025-06-23,0,0,30,17,4,69,9,P1
Jose Quintana,500779,NA,2025-04-21,2,1,33,9,2,69,7,P1
Logan Gilbert,669302,55.11,2025-09-15,2,1,35,9,3,68,10,P1
Framber Valdez,664285,83.25,2025-07-28,0,1,36,15,6,68,6,P1
Logan Webb,657277,89.7,2025-08-11,1,1,40,10,4,68,3,P1
Jacob deGrom,594798,96.37,2025-08-25,1,0,30,13,2,68,12,P1
Max Fried,608331,108.44,2025-05-12,0,1,33,13,3,68,12,P1
Merrill Kelly,518876,229.59,2025-06-09,0,1,33,14,4,68,7,P1
Drew Rasmussen,656876,239.34,2025-07-28,2,0,31,11,2,68,6,P1
Jacob Misiorowski,694819,239.39,2025-09-01,1,1,34,12,4,68,4,P1
Shane Smith,681343,239.56,2025-05-05,0,1,33,12,2,68,10,P1
Jordan Hicks,663855,239.84,2025-03-31,1,1,34,11,3,68,6,P1
Corbin Burnes,669203,62,2025-05-26,0,1,35,12,3,67,11,P1
Blake Snell,605483,68.13,2025-09-15,1,1,21,12,0,67,11,P1
Spencer Strider,675911,71.74,2025-06-09,1,1,18,13,0,67,8,P1
Spencer Strider,675911,71.74,2025-06-23,1,1,36,12,5,67,10,P1
Spencer Schwellenbach,680885,86.92,2025-04-21,0,2,39,11,5,67,8,P1
Tanner Bibee,676440,118.48,2025-09-08,1,1,27,10,0,67,5,P1
Jack Flaherty,656427,136.28,2025-07-21,1,1,27,13,3,67,8,P1
Yusei Kikuchi,579328,146.02,2025-06-23,1,1,21,12,0,67,10,P1
Carlos Rodon,607074,148.15,2025-06-02,1,1,36,13,6,67,9,P1
MacKenzie Gore,669022,158.05,2025-06-09,0,2,36,11,4,67,8,P1
Jeffrey Springs,605488,237.55,2025-07-07,2,2,38,7,4,67,9,P1
Shane Smith,681343,239.56,2025-04-07,0,2,36,9,2,67,11,P1
Tyler Anderson,542881,239.77,2025-05-05,0,1,35,12,3,67,11,P1
Kyle Hendricks,543294,239.97,2025-06-16,1,1,33,11,3,67,9,P1
Chase Dollander,801403,239.99,2025-05-12,0,1,32,13,3,67,13,P2
Jose Quintana,500779,NA,2025-08-11,1,2,37,7,2,67,4,P1
Aaron Nola,605400,75.01,2025-04-21,0,1,40,12,5,66,9,P1
Michael King,650633,76.46,2025-05-12,0,0,33,16,5,66,14,P2
Shota Imanaga,684007,101.3,2025-07-07,1,2,39,7,3,66,10,P1
Zac Gallen,668678,113.12,2025-05-05,1,1,38,11,5,66,12,P1
Tanner Bibee,676440,118.48,2025-07-21,2,1,36,12,7,66,9,P1
Cristopher Sanchez,650911,137.12,2025-03-31,0,0,33,16,5,66,7,P1
Jesus Luzardo,666200,176.07,2025-06-16,1,1,35,11,4,66,10,P1
Ryan Pepiot,686752,190.49,2025-05-19,1,2,39,7,3,66,11,P1
Brayan Bello,678394,239.54,2025-08-04,1,1,35,12,5,66,7,P1
Andrew Abbott,671096,239.97,2025-06-16,1,1,38,8,2,66,10,P1
Dylan Cease,656302,52.79,2025-05-19,0,1,36,14,6,65,12,P1
Logan Gilbert,669302,55.11,2025-06-16,1,0,30,16,6,65,12,P1
Robbie Ray,592662,127.55,2025-04-21,0,1,36,12,4,65,10,P1
Nick Lodolo,666157,188.35,2025-09-22,1,1,19,12,0,65,5,P1
Max Scherzer,453286,213.93,2025-07-21,0,1,36,15,7,65,10,P1
Shane Baz,669358,218.42,2025-07-07,0,2,37,10,4,65,11,P1
Grant Holmes,656550,230.63,2025-05-12,0,2,37,9,3,65,15,P2
Kris Bubic,663460,238.54,2025-06-23,0,1,33,13,4,65,12,P1
Will Warren,701542,238.96,2025-08-11,1,1,34,10,3,65,5,P1
Landen Roupp,694738,239.78,2025-07-07,0,1,33,11,2,65,11,P1
Jake Irvin,663623,NA,2025-06-16,1,1,34,12,5,65,12,P1
Tony Gonsolin,664062,NA,2025-05-05,1,0,30,12,2,65,13,P2
Tarik Skubal,669373,28.21,2025-05-05,1,1,21,12,1,64,14,P2
Zack Wheeler,554430,40.13,2025-04-14,1,1,21,13,2,64,13,P2
Garrett Crochet,676979,45.81,2025-07-07,1,1,27,9,0,64,13,P2
Dylan Cease,656302,52.79,2025-06-09,1,1,21,11,0,64,10,P1
Aaron Nola,605400,75.01,2025-09-08,1,1,36,12,6,64,6,P1
Spencer Schwellenbach,680885,86.92,2025-03-31,1,1,24,10,0,64,8,P1
Logan Webb,657277,89.7,2025-04-28,1,1,36,12,6,64,9,P1
Hunter Greene,668881,97.59,2025-09-15,1,1,27,9,0,64,12,P1
Max Fried,608331,108.44,2025-04-07,1,1,21,11,0,64,12,P1
Zac Gallen,668678,113.12,2025-08-18,0,2,36,10,4,64,11,P1
Kevin Gausman,592332,125.67,2025-09-08,1,1,27,9,0,64,6,P1
George Kirby,669923,127.32,2025-07-21,1,1,36,12,6,64,11,P1
Robbie Ray,592662,127.55,2025-07-07,0,1,35,11,3,64,13,P2
Joe Ryan,657746,132.76,2025-04-21,1,1,21,11,0,64,11,P1
Yusei Kikuchi,579328,146.02,2025-05-12,0,1,35,11,3,64,16,P2
Ranger Suarez,624133,230.82,2025-09-08,1,1,18,12,0,64,6,P1
JP Sears,676664,239.71,2025-04-28,1,1,36,9,3,64,9,P1
Landen Roupp,694738,239.78,2025-06-02,1,2,37,7,3,64,10,P1
Ryne Nelson,669194,239.82,2025-09-01,0,2,36,10,4,64,5,P1
Dean Kremer,665152,239.89,2025-06-16,1,0,32,11,2,64,14,P2
Edward Cabrera,665795,239.99,2025-08-04,1,1,24,11,1,64,8,P1
Andre Pallante,669467,NA,2025-07-28,1,1,36,8,2,64,8,P1
Dylan Cease,656302,52.79,2025-06-16,1,1,35,13,7,63,15,P2
Freddy Peralta,642547,106.07,2025-04-07,1,0,31,12,3,63,13,P2
Zac Gallen,668678,113.12,2025-06-02,1,1,41,9,5,63,11,P1
Jesus Luzardo,666200,176.07,2025-04-14,0,1,37,11,4,63,14,P2
Mitch Keller,656605,182.86,2025-07-07,0,2,38,8,3,63,15,P2
Luis Gil,661563,237.86,2025-08-25,1,0,31,12,3,63,13,P2
Tomoyuki Sugano,608372,238.15,2025-07-21,1,1,29,12,4,63,12,P1
Jose Soriano,667755,238.37,2025-08-11,1,1,35,11,5,63,6,P1
Charlie Morton,450203,238.52,2025-07-28,1,2,36,8,4,63,9,P1
Jameson Taillon,592791,239.25,2025-08-18,2,1,33,7,2,63,12,P1
Zack Littell,641793,239.48,2025-08-04,1,1,35,11,5,63,9,P1
Cade Horton,690990,NA,2025-08-18,1,1,26,10,1,63,12,P1
Logan Gilbert,669302,55.11,2025-07-07,0,0,32,14,4,62,16,P2
Spencer Schwellenbach,680885,86.92,2025-05-26,1,1,19,11,0,62,12,P1
Jacob deGrom,594798,96.37,2025-07-07,0,1,33,13,5,62,16,P2
Kodai Senga,673540,141.74,2025-05-19,1,1,34,10,4,62,13,P2
Carlos Rodon,607074,148.15,2025-08-18,2,1,35,8,4,62,14,P2
MacKenzie Gore,669022,158.05,2025-03-24,0,1,18,13,0,62,1,P1
Shane Baz,669358,218.42,2025-04-14,1,1,28,14,6,62,15,P2
Ryan Weathers,677960,219.68,2025-05-26,0,0,35,13,4,62,12,P1
Bowden Francis,670102,233.52,2025-03-31,1,1,34,10,4,62,9,P1
Eury Perez,691587,237.61,2025-08-18,1,1,31,10,3,62,14,P2
Michael Wacha,608379,238.28,2025-05-12,1,1,34,9,3,62,17,P2
Tarik Skubal,669373,28.21,2025-04-21,1,1,18,11,0,61,12,P1
Garrett Crochet,676979,45.81,2025-08-18,1,1,21,11,1,61,16,P2
Chris Sale,519242,66.64,2025-06-09,1,1,21,11,1,61,11,P1
Blake Snell,605483,68.13,2025-09-08,1,1,18,11,0,61,9,P1
Framber Valdez,664285,83.25,2025-05-26,1,1,27,9,1,61,14,P2
Yoshinobu Yamamoto,808967,87.21,2025-04-14,1,1,21,10,0,61,16,P2
Hunter Greene,668881,97.59,2025-04-28,1,1,18,12,1,61,11,P1
Zac Gallen,668678,113.12,2025-07-07,1,1,33,12,6,61,18,P2
Tanner Bibee,676440,118.48,2025-04-28,1,1,36,8,3,61,11,P1
Sonny Gray,543243,129.65,2025-05-26,1,1,21,10,0,61,14,P2
Joe Ryan,657746,132.76,2025-07-14,1,1,21,11,1,61,1,P1
Cristopher Sanchez,650911,137.12,2025-04-14,1,1,21,12,2,61,16,P2
Carlos Rodon,607074,148.15,2025-05-26,1,1,21,10,0,61,14,P2
Nick Pivetta,601713,150.28,2025-04-07,1,1,21,10,0,61,14,P2
Nick Pivetta,601713,150.28,2025-06-09,1,1,33,12,6,61,11,P1
Nick Pivetta,601713,150.28,2025-06-23,1,1,21,10,0,61,13,P2
Gavin Williams,668909,157.88,2025-07-14,1,1,21,11,1,61,1,P1
MacKenzie Gore,669022,158.05,2025-04-14,1,1,18,13,2,61,16,P2
Jesus Luzardo,666200,176.07,2025-08-18,1,1,18,12,1,61,16,P2
Jesus Luzardo,666200,176.07,2025-08-25,0,1,32,12,4,61,14,P2
Jesus Luzardo,666200,176.07,2025-09-22,1,1,21,10,0,61,6,P1
Nick Lodolo,666157,188.35,2025-07-21,1,1,27,8,0,61,13,P2
Nathan Eovaldi,543135,193.86,2025-03-31,1,1,27,8,0,61,10,P1
Shane Baz,669358,218.42,2025-06-23,1,1,24,9,0,61,13,P2
Casey Mize,663554,234.59,2025-06-16,1,1,33,9,3,61,16,P2
Erick Fedde,607200,237.02,2025-05-05,1,1,27,8,0,61,15,P2
Jacob Misiorowski,694819,239.39,2025-07-07,1,1,18,12,1,61,18,P2
Cade Povich,700249,239.66,2025-08-04,0,1,35,12,5,61,10,P1
Emerson Hancock,676106,NA,2025-06-09,1,1,36,7,2,61,11,P1
Seth Lugo,607625,136.46,2025-05-05,0,2,38,8,4,60,16,P2
Brady Singer,663903,227.02,2025-07-07,0,1,34,12,5,60,20,P2
Casey Mize,663554,234.59,2025-08-04,2,1,33,9,5,60,11,P1
Shane Bieber,669456,239.6,2025-09-08,1,1,35,9,4,60,10,P1
Cade Povich,700249,239.66,2025-03-31,0,1,31,12,4,60,11,P1
Garrett Crochet,676979,45.81,2025-08-11,0,1,33,13,6,59,7,P1
Dylan Cease,656302,52.79,2025-09-01,1,0,27,12,3,59,6,P1
Shota Imanaga,684007,101.3,2025-09-08,0,1,33,13,6,59,11,P1
Luis Castillo,622491,101.92,2025-07-28,1,1,34,8,3,59,10,P1
Luis Castillo,622491,101.92,2025-09-22,1,1,22,10,1,59,7,P1
Tyler Glasnow,607192,109,2025-07-21,0,1,21,12,1,59,14,P2
Kevin Gausman,592332,125.67,2025-04-07,0,1,24,10,0,59,15,P2
Gavin Williams,668909,157.88,2025-05-26,1,1,34,9,4,59,17,P2
Ryan Pepiot,686752,190.49,2025-04-14,0,1,36,15,9,59,19,P2
Chris Bassitt,605135,203.48,2025-09-01,0,1,33,9,2,59,6,P1
Jose Soriano,667755,238.37,2025-06-09,0,1,21,12,1,59,14,P2
Kris Bubic,663460,238.54,2025-04-21,0,1,36,10,4,59,13,P2
Zebby Matthews,805673,NA,2025-08-11,0,0,29,15,5,59,7,P1
Chad Patrick,694477,NA,2025-03-31,1,0,30,9,1,59,12,P1
Zack Wheeler,554430,40.13,2025-03-31,1,1,21,10,1,58,13,P2
Garrett Crochet,676979,45.81,2025-03-31,1,1,24,8,0,58,13,P2
Corbin Burnes,669203,62,2025-05-12,1,1,18,10,0,58,18,P2
Aaron Nola,605400,75.01,2025-09-22,1,1,24,9,1,58,8,P1
Framber Valdez,664285,83.25,2025-06-02,1,1,21,11,2,58,12,P1
Framber Valdez,664285,83.25,2025-09-22,1,1,21,10,1,58,8,P1
Spencer Schwellenbach,680885,86.92,2025-06-09,1,1,27,9,2,58,15,P2
Yoshinobu Yamamoto,808967,87.21,2025-09-01,0,1,26,10,1,58,8,P1
Zac Gallen,668678,113.12,2025-06-30,1,1,21,10,1,58,13,P2
Kevin Gausman,592332,125.67,2025-05-19,1,1,21,9,0,58,14,P2
Jack Flaherty,656427,136.28,2025-08-18,1,1,36,12,8,58,18,P2
Seth Lugo,607625,136.46,2025-04-21,1,1,24,8,0,58,14,P2
Cristopher Sanchez,650911,137.12,2025-05-19,0,1,32,13,6,58,14,P2
Carlos Rodon,607074,148.15,2025-07-07,1,1,24,8,0,58,21,P2
Gavin Williams,668909,157.88,2025-06-30,0,1,35,10,4,58,13,P2
Gavin Williams,668909,157.88,2025-09-22,1,1,18,12,2,58,8,P1
Ryan Pepiot,686752,190.49,2025-07-07,0,2,36,9,5,58,21,P2
Shane Baz,669358,218.42,2025-03-31,1,1,18,10,0,58,13,P2
